timestamp_utc,event,detail
2026-04-03T14:49:42.352383,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:49:46.354473,ALERT_PARTIAL_FACE,"bbox_w=0.173, edge=False"
2026-04-03T14:49:48.353982,ALERT_NO_FACE,duration=2.0s
2026-04-03T14:49:53.348318,ALERT_PARTIAL_FACE,"bbox_w=0.316, edge=True"
2026-04-03T14:49:58.361452,ALERT_PARTIAL_FACE,"bbox_w=0.301, edge=True"
2026-04-03T14:50:03.354525,ALERT_PARTIAL_FACE,"bbox_w=0.340, edge=True"
2026-04-03T14:50:51.041387,MONITORING_STOPPED,User stopped monitoring
2026-04-03T18:43:10.804734,SERVER_STARTED,Modular backend server initialized
2026-04-03T18:43:49.584862,QUESTIONS_GENERATED,"session=cc1eb6b3-b01f-4fd2-9440-3b05dceabc3c, count=16"
2026-04-03T18:43:53.439554,MONITORING_STARTED,session_id=cc1eb6b3-b01f-4fd2-9440-3b05dceabc3c
2026-04-03T18:44:24.392947,ALERT_PARTIAL_FACE,"bbox_w=0.339, edge=True"
2026-04-03T18:44:36.582293,ALERT_PARTIAL_FACE,"bbox_w=0.330, edge=True"
2026-04-03T18:44:47.346362,ALERT_PARTIAL_FACE,"bbox_w=0.333, edge=True"
2026-04-03T18:45:07.724390,ALERT_PARTIAL_FACE,"bbox_w=0.375, edge=True"
2026-04-03T18:45:19.653737,ALERT_PARTIAL_FACE,"bbox_w=0.332, edge=True"
2026-04-03T18:45:35.710913,ALERT_PARTIAL_FACE,"bbox_w=0.328, edge=True"
2026-04-03T18:46:58.384107,ALERT_PARTIAL_FACE,"bbox_w=0.309, edge=True"
2026-04-03T18:47:42.357501,ALERT_PARTIAL_FACE,"bbox_w=0.304, edge=True"
2026-04-03T18:47:42.591967,MONITORING_STOPPED,User stopped monitoring
2026-04-03T18:50:38.001930,SERVER_STARTED,Modular backend server initialized
2026-04-03T18:51:19.674775,QUESTIONS_GENERATED,"session=65bcd7c4-ef31-4a4a-b367-d148c7a80de8, count=16"
2026-04-03T18:51:21.217190,MONITORING_STARTED,session_id=65bcd7c4-ef31-4a4a-b367-d148c7a80de8
2026-04-03T18:54:10.204503,MONITORING_STOPPED,User stopped monitoring
2026-04-03T19:10:35.889151,SERVER_STARTED,Modular backend server initialized
2026-04-03T19:11:10.749867,QUESTIONS_GENERATED,"session=e04200e9-eb18-4062-af01-271bad2a9222, count=16"
2026-04-03T19:11:13.515602,MONITORING_STARTED,session_id=e04200e9-eb18-4062-af01-271bad2a9222
2026-04-03T19:13:44.021052,MONITORING_STOPPED,User stopped monitoring
2026-04-04T06:20:09.133404,SERVER_STARTED,Modular backend server initialized
2026-04-04T06:22:25.780413,QUESTIONS_GENERATED,"session=918314d0-8142-4a02-91f3-beac560c46a3, count=16"
2026-04-04T06:22:27.794470,MONITORING_STARTED,session_id=918314d0-8142-4a02-91f3-beac560c46a3
2026-04-04T06:26:52.502348,MONITORING_STOPPED,User stopped monitoring
